edge_id,source_node,target_node,edge_type,weight,distance_pixels,phase_difference_rad,time_difference_sec
G00351,N0138,N0185,SPATIAL,0.303125292062759,54.6717477313466,1.8451327085495,NaN
G00352,N0139,N0187,SPATIAL,0.693751692771912,20,1.13493740558624,NaN
G00353,N0139,N0172,SPATIAL,0.0853400975465775,37,2.52226567268372,NaN
G00354,N0139,N0186,SPATIAL,0.83769029378891,52.1536192416212,0.191744983196259,NaN
G00355,N0140,N0199,SPATIAL,0.74767279624939,42.3792402008342,0.835691869258881,NaN
G00356,N0140,N0224,SPATIAL,0.88659143447876,43.8406204335659,0.0831522867083549,NaN
G00357,N0140,N0188,SPATIAL,0.770184338092804,63.1268564083465,0.245760291814804,NaN
G00358,N0140,N0208,SPATIAL,0.673028588294983,78.5175139698144,0.247970342636108,NaN
G00359,N0141,N0224,SPATIAL,0.894518613815308,41.0487515035476,0.172602772712708,NaN
G00360,N0141,N0182,SPATIAL,0.456224679946899,42.4499705535822,1.55098962783813,NaN
G00361,N0141,N0199,SPATIAL,0.729621827602386,52.8866712887094,0.746241450309753,NaN
G00362,N0141,N0198,SPATIAL,0.625442802906036,54.6717477313466,1.0421724319458,NaN
G00363,N0142,N0192,SPATIAL,0.0734785497188568,13.9283882771841,2.58920192718506,NaN
G00364,N0142,N0178,SPATIAL,0.745602130889893,15,1.03321504592896,NaN
G00365,N0142,N0165,SPATIAL,0.709831714630127,33.2415402771893,1.02408885955811,NaN
G00366,N0143,N0154,SPATIAL,0.55688738822937,27.5862284482674,1.40266227722168,NaN
G00367,N0143,N0167,SPATIAL,0.722135663032532,41.1096095821889,0.923441410064697,NaN
G00368,N0143,N0025,SPATIAL,0.409074187278748,75.538069872085,1.40646708011627,NaN
G00369,N0143,N0028,SPATIAL,0.406959116458893,76.6550715869472,1.40018391609192,NaN
G00370,N0144,N0148,SPATIAL,0.143622398376465,21.540659228538,2.35238647460938,NaN
G00371,N0144,N0165,SPATIAL,0.963190793991089,24.5967477524977,0.0251448173075914,NaN
G00372,N0144,N0160,SPATIAL,0.952175080776215,28.1602556806574,0.0149325123056769,NaN
G00373,N0144,N0192,SPATIAL,0.439580172300339,42.0475920832573,1.5902578830719,NaN
G00374,N0145,N0213,SPATIAL,0.976992964744568,18.0277563773199,0.113355755805969,NaN
G00375,N0145,N0159,SPATIAL,0.956567585468292,26.5706605111728,0.0573939085006714,NaN
G00376,N0145,N0190,SPATIAL,0.265661805868149,58.7281874401041,1.92049336433411,NaN
G00377,N0145,N0149,SPATIAL,0.628945052623749,85.5628424025289,0.217022299766541,NaN
G00378,N0146,N0149,SPATIAL,0.591747522354126,20.0997512422418,1.35576248168945,NaN
G00379,N0146,N0196,SPATIAL,0.448685109615326,23.3238075793812,1.64284288883209,NaN
G00380,N0146,N0158,SPATIAL,0.547799944877625,29.4108823397055,1.414470911026,NaN
G00381,N0146,N0170,SPATIAL,0.742606282234192,39.0512483795333,0.886902153491974,NaN
G00382,N0147,N0214,SPATIAL,0.186679482460022,18.0277563773199,2.23836088180542,NaN
G00383,N0147,N0193,SPATIAL,0.20930752158165,20,2.17842245101929,NaN
G00384,N0147,N0175,SPATIAL,0.486590325832367,30,1.54201602935791,NaN
G00385,N0147,N0223,SPATIAL,0.829174518585205,33.0605505096331,0.685508549213409,NaN
G00386,N0148,N0165,SPATIAL,0.147614628076553,31.3209195267317,2.32724165916443,NaN
G00387,N0148,N0192,SPATIAL,0.810101985931396,31.6227766016838,0.762128710746765,NaN
G00388,N0148,N0160,SPATIAL,0.142684325575829,33.8378486313773,2.33745408058167,NaN
G00389,N0149,N0190,SPATIAL,0.221363201737404,27.0185121722126,2.13751578330994,NaN
G00390,N0149,N0196,SPATIAL,0.892470955848694,38.8329756778952,0.287080407142639,NaN
G00391,N0149,N0170,SPATIAL,0.170042961835861,41.146081222882,2.24266481399536,NaN
G00392,N0150,N0243,SPATIAL,0.808435548122283,58.6941223633168,NaN,NaN
G00393,N0150,N0265,SPATIAL,0.771384828233513,64.8459713474939,NaN,NaN
G00394,N0151,N0185,SPATIAL,0.742973148822784,29.8328677803526,0.964453935623169,NaN
G00395,N0151,N0030,SPATIAL,0.361659735441208,57.0087712549569,1.68704807758331,NaN
G00396,N0151,N0027,SPATIAL,0.358620136976242,57.2013985843004,1.69333136081696,NaN
G00397,N0151,N0044,SPATIAL,0.364908218383789,58.6941223633168,1.66819870471954,NaN
G00398,N0152,N0177,SPATIAL,0.600608289241791,19.7989898732233,1.33806347846985,NaN
G00399,N0152,N0226,SPATIAL,0.627656877040863,39.6988664825584,1.17713379859924,NaN
G00400,N0152,N0120,SPATIAL,0.280091196298599,42.3792402008342,1.95426559448242,NaN
G00401,N0152,N0265,SPATIAL,0.886865690231775,44.1021541423999,NaN,NaN
G00402,N0153,N0164,SPATIAL,0.774083256721497,13.6014705087354,0.969214200973511,NaN
G00403,N0153,N0182,SPATIAL,0.970526874065399,19.6977156035922,0.154397964477539,NaN
G00404,N0153,N0198,SPATIAL,0.93686980009079,23.3452350598575,0.354419231414795,NaN
G00405,N0153,N0128,SPATIAL,0.60849803686142,50.2095608425328,1.1352424621582,NaN
G00406,N0154,N0025,SPATIAL,0.782315313816071,63.0634601017102,0.00380480289459229,NaN
G00407,N0154,N0028,SPATIAL,0.774054765701294,64.4127316607517,0.00247836112976074,NaN
G00408,N0154,N0167,SPATIAL,0.727938294410706,64.8459713474939,0.479220867156982,NaN
G00409,N0155,N0211,SPATIAL,0.984504520893097,14.2126704035519,0.112179279327393,NaN
G00410,N0155,N0216,SPATIAL,0.0608063153922558,15.8113883008419,2.63933110237122,NaN
G00411,N0155,N0166,SPATIAL,0.860456228256226,41.2310562561766,0.424322962760925,NaN
G00412,N0155,N0245,SPATIAL,0.839975364081406,53.1507290636732,NaN,NaN
G00413,N0156,N0200,SPATIAL,0.389820367097855,23.1948270094864,1.76606774330139,NaN
G00414,N0156,N0262,SPATIAL,0.932911960387147,33.5410196624968,NaN,NaN
